Project,Language,Date,Revision_New,Revision_Old,Matched_Lines,Full_Covered,Partial_Covered,Diff_URL,Diff_Files,Treat_PC_As_Full
jts,jvm,20240809,f7211fa63b951ff7b3c65293030b6d410256bdae,bf71d665ee7ea2f019d97f5653b26f5787474325,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20230801,b009789e0d3479da518eb98cfb39e5602c760776,46d2cfd39c62a4d7a21d5c2536f095af57a8d5ef,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20231110,84bcead5d968ce8ef93b704d20a48620e212fd9a,f95b42ee066c8e8c53eb92e036e95ee578a846cd,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240611,1672c0386bdd4f1c06935defcd50a3d95e7f414c,24c92207cfe3e4175949a66a07fd50016f87d75c,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20230831,159b39bd9f830d837febfe1295ddbead86446e28,53d1cd2214931ef146b96234bddeb223fa83080c,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20231202,caf3a2805f044abf768f57bdb0f23605a843e956,df3a4de8d3890dcd0ccefb63a703492cdf53c351,71,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/testbuilder/AppColors.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/TestCasePanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/ValidPanel.java,True
jts,jvm,20240119,a79038220bd44db49bf9b5a6a56b32ad7d85ca86,788082edcf91ad99b91c52c30523e97df90877f1,4,4,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/PointLocator.java,True
jts,jvm,20231208,eaa6d1d91c548b525629b926caed1df1c5c35f4a,d26cef981decaf12f10e4971106f2525ee9a66ce,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240730,bf71d665ee7ea2f019d97f5653b26f5787474325,0d5eac992da509d052e3d23b522c375ba902cd86,2,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateGeometry.java,True
jts,jvm,20240419,7ef2b9d2e6f36ce5e7a787cff57bd18281e50826,93f0e35289246e0847a8c09505974e07c10624e2,2,2,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/distance/DistanceOp.java,True
jts,jvm,20240604,c2a52fe1a0a9a9c53b986ae8850dffbdec1958b5,640d091daf1f9d30b9f0a8eb9bfc2e393d368967,1,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/LinearBoundary.java,True
jts,jvm,20231108,f36b892153d74c4568a8d2244007367247ec8ef7,b3d1ae8d6ff3486e0bf005e363c2572939181747,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240703,8c71ae7b56f600ed05b87c9584ae04fe33d154dd,8e7996c1578862f28c4c4dfbd37e3a022939dd44,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240705,11813d36c31bfc388ea173dcc10c469060129863,8c71ae7b56f600ed05b87c9584ae04fe33d154dd,3,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/io/kml/KMLReader.java,True
jts,jvm,20231101,6f2fce263863a7aac550f7128ce2266ee45d5184,70817f5353669cebd7474be87bb2a06b3b603dfe,6,3,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/distance/DistanceOp.java,True
jts,jvm,20231122,85c9391a0446f63208027697b3948b668c2e38b0,e25f8d9d32bbbeff0b12d656a57fbcafea4f866a,12,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/buffer/BufferInputLineSimplifier.java,True
jts,jvm,20240410,848a02832ca437a5a485860d6b3d1223403ec871,f568af79876a8c7a359ae10fd0ff5b9d62634a27,2,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/ConversionFunctions.java,True
jts,jvm,20230917,52e19880a045c90991f17b2cc655abd94117622b,ee59b591f15b5150516393d3ba0b49e46a113fc9,1,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/DistanceFunctions.java,True
jts,jvm,20240111,39fa4a722c6aab02754860dcf7c34a873cb12b40,1df59547d1b72ec156079938eb7adc9e635ce5b2,1,1,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/geomgraph/GeometryGraph.java,True
jts,jvm,20231030,70817f5353669cebd7474be87bb2a06b3b603dfe,566a072a9deed36c9d1d8a7d88b8b5ea7e35d8a6,2,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/InteriorPointPoint.java,True
jts,jvm,20240724,0d5eac992da509d052e3d23b522c375ba902cd86,46326d37442a4c9fe834c22f5471192be6694438,1,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateGeometry.java,True
jts,jvm,20230901,ee59b591f15b5150516393d3ba0b49e46a113fc9,159b39bd9f830d837febfe1295ddbead86446e28,1,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/triangulate/IncrementalDelaunayTriangulator.java,True
jts,jvm,20240815,7d877b7607b44230fa782173715fb29ea999c4a5,f7211fa63b951ff7b3c65293030b6d410256bdae,4,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateGeometry.java,True
jts,jvm,20231109,f95b42ee066c8e8c53eb92e036e95ee578a846cd,f36b892153d74c4568a8d2244007367247ec8ef7,4,4,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/PointLocator.java;modules/core/src/main/java/org/locationtech/jts/geomgraph/GeometryGraph.java,True
jts,jvm,20231018,566a072a9deed36c9d1d8a7d88b8b5ea7e35d8a6,52e19880a045c90991f17b2cc655abd94117622b,6,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/overlayng/OverlayUtil.java,True
jts,jvm,20231130,df3a4de8d3890dcd0ccefb63a703492cdf53c351,5b1bb50190663521f6c27d8355e60795b2e66cfd,7,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/InteriorPoint.java;modules/core/src/main/java/org/locationtech/jts/algorithm/InteriorPointLine.java,True
jts,jvm,20230810,d37686524cb901892f9dcb91cead4b69166ec26d,b009789e0d3479da518eb98cfb39e5602c760776,13,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/buffer/VariableBuffer.java,True
jts,jvm,20240521,20374b916027424920d77d5ce284f329a77ea325,773ee336729d443e769e01f0e0821e54e8812a2a,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240112,788082edcf91ad99b91c52c30523e97df90877f1,39fa4a722c6aab02754860dcf7c34a873cb12b40,24,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/OffsetCurveFunctions.java;modules/core/src/main/java/org/locationtech/jts/operation/buffer/OffsetCurve.java,True
jts,jvm,20240615,8e7996c1578862f28c4c4dfbd37e3a022939dd44,1672c0386bdd4f1c06935defcd50a3d95e7f414c,7,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineString.java;modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineStringSimplifier.java,True
jts,jvm,20240523,e751aa211fc606a4dd93a28bf90e9c1dcd7b2fa7,a025ba59a627f197d5f366d2422a6453811cabae,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240103,1df59547d1b72ec156079938eb7adc9e635ce5b2,9fd9c487f6c57ee9465bcaaaa301c8ee689cf2e3,70,68,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/index/hprtree/HPRtree.java;modules/core/src/main/java/org/locationtech/jts/noding/MCIndexNoder.java;modules/core/src/main/java/org/locationtech/jts/noding/snapround/MCIndexPointSnapper.java,True
jts,jvm,20240528,c1c8310f8c992db625d0c6b4d63da53c1b463fc8,e751aa211fc606a4dd93a28bf90e9c1dcd7b2fa7,38,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/OrientationFPFunctions.java;modules/app/src/main/java/org/locationtech/jtstest/geomfunction/GeometryFunctionRegistry.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/GeometryTreeModel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/InspectorPanel.java,True
jts,jvm,20240828,f37193a312a6181678bec82782cb6f939edcff53,b78fe0145588954bb8408a1a230580f0d68e2a5a,92,59,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/geom/Geometry.java;modules/core/src/main/java/org/locationtech/jts/geom/GeometryRelate.java,True
jts,jvm,20240824,b99f94e541d477b8de29a7306fa4c9b054f9f02a,e98dcac2d6a014003bda29ccb4d9d29bf62cd38f,11,9,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/RobustLineIntersector.java;modules/core/src/main/java/org/locationtech/jts/geom/Coordinates.java,True
jts,jvm,20240821,7c2627093f7d876167d651bf132a8500d428aa5f,7d877b7607b44230fa782173715fb29ea999c4a5,11,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateGeometry.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/TopologyComputer.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/TopologyPredicateTracer.java,True
jts,jvm,20240522,a025ba59a627f197d5f366d2422a6453811cabae,20374b916027424920d77d5ce284f329a77ea325,50,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/coverage/CoveragePolygon.java;modules/core/src/main/java/org/locationtech/jts/coverage/CoveragePolygonValidator.java;modules/core/src/main/java/org/locationtech/jts/coverage/CoverageRing.java,True
jts,jvm,20240827,b78fe0145588954bb8408a1a230580f0d68e2a5a,b99f94e541d477b8de29a7306fa4c9b054f9f02a,48,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/io/WKBReader.java;modules/core/src/main/java/org/locationtech/jts/io/WKBWriter.java,True
jts,jvm,20240411,93f0e35289246e0847a8c09505974e07c10624e2,848a02832ca437a5a485860d6b3d1223403ec871,10,6,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/CGAlgorithms.java;modules/core/src/main/java/org/locationtech/jts/algorithm/PointLocation.java;modules/core/src/main/java/org/locationtech/jts/operation/valid/PolygonTopologyAnalyzer.java,True
jts,jvm,20240120,7b1395b552a1cc1bede96ed23cc2c3ef390fd064,a79038220bd44db49bf9b5a6a56b32ad7d85ca86,39,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/SelectionFunctions.java;modules/core/src/main/java/org/locationtech/jts/algorithm/BoundaryNodeRule.java;modules/core/src/main/java/org/locationtech/jts/algorithm/PolygonNodeTopology.java;modules/core/src/main/java/org/locationtech/jts/noding/SegmentString.java,True
jts,jvm,20230830,53d1cd2214931ef146b96234bddeb223fa83080c,d37686524cb901892f9dcb91cead4b69166ec26d,63,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/TriangleFunctions.java;modules/core/src/main/java/org/locationtech/jts/triangulate/IncrementalDelaunayTriangulator.java;modules/core/src/main/java/org/locationtech/jts/triangulate/VoronoiDiagramBuilder.java;modules/core/src/main/java/org/locationtech/jts/triangulate/quadedge/QuadEdgeSubdivision.java,True
jts,jvm,20231116,e25f8d9d32bbbeff0b12d656a57fbcafea4f866a,84bcead5d968ce8ef93b704d20a48620e212fd9a,32,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/Angle.java;modules/core/src/main/java/org/locationtech/jts/operation/buffer/BufferParameters.java;modules/core/src/main/java/org/locationtech/jts/operation/buffer/OffsetSegmentGenerator.java;modules/core/src/main/java/org/locationtech/jts/util/GeometricShapeFactory.java,True
jts,jvm,20240605,24c92207cfe3e4175949a66a07fd50016f87d75c,c2a52fe1a0a9a9c53b986ae8850dffbdec1958b5,8,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/TopologyComputer.java,True
jts,jvm,20240706,46326d37442a4c9fe834c22f5471192be6694438,11813d36c31bfc388ea173dcc10c469060129863,243,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/CoverageFunctions.java;modules/core/src/main/java/org/locationtech/jts/coverage/Corner.java;modules/core/src/main/java/org/locationtech/jts/coverage/CornerArea.java;modules/core/src/main/java/org/locationtech/jts/coverage/CoverageEdge.java;modules/core/src/main/java/org/locationtech/jts/coverage/CoverageRingEdges.java;modules/core/src/main/java/org/locationtech/jts/coverage/CoverageSimplifier.java;modules/core/src/main/java/org/locationtech/jts/coverage/TPVWSimplifier.java,True
jts,jvm,20231107,b3d1ae8d6ff3486e0bf005e363c2572939181747,6f2fce263863a7aac550f7128ce2266ee45d5184,52,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/simplify/DouglasPeuckerLineSimplifier.java;modules/core/src/main/java/org/locationtech/jts/simplify/DouglasPeuckerSimplifier.java;modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineString.java;modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineStringSimplifier.java;modules/core/src/main/java/org/locationtech/jts/simplify/TopologyPreservingSimplifier.java,True
jts,jvm,20240823,e98dcac2d6a014003bda29ccb4d9d29bf62cd38f,7c2627093f7d876167d651bf132a8500d428aa5f,16,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateGeometry.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateNG.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelatePointLocator.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/TopologyComputer.java,True
jts,jvm,20240315,f568af79876a8c7a359ae10fd0ff5b9d62634a27,7b1395b552a1cc1bede96ed23cc2c3ef390fd064,60,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/cmd/JTSOpCmd.java;modules/app/src/main/java/org/locationtech/jtstest/cmd/JTSOpRunner.java;modules/core/src/main/java/org/locationtech/jts/operation/buffer/BufferCurveSetBuilder.java;modules/core/src/main/java/org/locationtech/jts/operation/buffer/VariableBuffer.java,True
jts,jvm,20240930,d1812faaa0a9793d262edc3116e96dda2319fe44,380bdd280933e0455d7aa3ef612c453c03b9b5a7,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240830,6e95fe82feb986a7aa657f4ffa406d8c290af509,f37193a312a6181678bec82782cb6f939edcff53,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240831,9a19741765fb5908ce6ab8217eb520f231760ac2,6e95fe82feb986a7aa657f4ffa406d8c290af509,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20241008,7ff33678ebdadc940adb2a8a967bda89b97ebd6b,31486271e9d61e03a9d18b8bfa74f576dabda439,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20241111,9f0d2287a6cc0248932f0a790657ef20756b25ec,6645fc30d1ea8b08fa54b5c627651779562644ad,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20240927,7ce18de357388aa275f159779f1776623adb96f3,e87f11eaafd8992fde660e6d6b29114f37eb0b3b,1,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/ConvexHull.java,True
jts,jvm,20231205,ebf4f11f8f705466c595f61d427c6d0195bbeda1,7d852cca24e6028e2996f17b8f416e033e469bbc,113,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/RayCrossingCounter.java;modules/core/src/main/java/org/locationtech/jts/simplify/ComponentJumpChecker.java;modules/core/src/main/java/org/locationtech/jts/simplify/LineSegmentIndex.java;modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineString.java;modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineStringSimplifier.java;modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLinesSimplifier.java;modules/core/src/main/java/org/locationtech/jts/simplify/TopologyPreservingSimplifier.java,True
jts,jvm,20240929,380bdd280933e0455d7aa3ef612c453c03b9b5a7,7ce18de357388aa275f159779f1776623adb96f3,3,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/hull/OuterShellsExtracter.java,True
jts,jvm,20231207,d26cef981decaf12f10e4971106f2525ee9a66ce,ebf4f11f8f705466c595f61d427c6d0195bbeda1,43,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/testbuilder/AppColors.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/GeometryEditPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/GeometryInputDialog.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/InspectorPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/RelatePanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/ValidPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/WKTPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/model/TestBuilderModel.java,True
jts,jvm,20241004,31486271e9d61e03a9d18b8bfa74f576dabda439,d1812faaa0a9793d262edc3116e96dda2319fe44,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20241106,6645fc30d1ea8b08fa54b5c627651779562644ad,dc347641312f55ba5aac27128654e10b93485ada,2,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineString.java,True
jts,jvm,20241122,9df69d1fa9a7ab92947ed7f0ea568a16eda36011,9f0d2287a6cc0248932f0a790657ef20756b25ec,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20241025,dc347641312f55ba5aac27128654e10b93485ada,0cec47a0044a6656a0f34b352ec32bc12767fb12,7,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/hull/ConcaveHullOfPolygons.java,True
jts,jvm,20250105,dcb9f942723c58c41f36c4d62738f46dd429f349,6bd333cf7de8041f4f908181d38a341eb6ba9218,0,0,0,https://github.com/locationtech/jts,,True
jts,jvm,20241124,6c990231fcb3824b7aa177c488f890a69a07a3c5,40b7b914c916f21d521c3d796969d1c45ad9785b,27,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/CreateRandomShapeFunctions.java,True
jts,jvm,20241023,0cec47a0044a6656a0f34b352ec32bc12767fb12,6a9af07059671bdc6e62542c9739137ab53fd4d8,1,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/simplify/TaggedLineStringSimplifier.java,True
jts,jvm,20240925,e87f11eaafd8992fde660e6d6b29114f37eb0b3b,9a19741765fb5908ce6ab8217eb520f231760ac2,94,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/hull/ConcaveHullOfPolygons.java;modules/core/src/main/java/org/locationtech/jts/algorithm/hull/OuterShellsExtracter.java;modules/lab/src/main/java/org/locationtech/jts/algorithm/axis/DelaunayMedialAxis.java,True
jts,jvm,20241125,bd49db8de863253525bd68b35a49e77470c8436f,6c990231fcb3824b7aa177c488f890a69a07a3c5,9,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelateGeometry.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/TopologyComputer.java,True
jts,jvm,20231203,7d852cca24e6028e2996f17b8f416e033e469bbc,caf3a2805f044abf768f57bdb0f23605a843e956,40,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/testbuilder/AppColors.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/GeometryInputDialog.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/InspectorPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/RelatePanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/TestCaseTextDialog.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/ValidPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/WKTPanel.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/model/LayerList.java,True
jts,jvm,20241013,6a9af07059671bdc6e62542c9739137ab53fd4d8,7ff33678ebdadc940adb2a8a967bda89b97ebd6b,9,0,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/operation/relateng/RelatePredicate.java;modules/core/src/main/java/org/locationtech/jts/operation/relateng/TopologyComputer.java,True
jts,jvm,20241126,0d3dc130ed48f2084b012befbc5fec34b8d8ab81,bd49db8de863253525bd68b35a49e77470c8436f,7,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/CreateRandomShapeFunctions.java;modules/app/src/main/java/org/locationtech/jtstest/testbuilder/ui/GeometryLocationsWriter.java,True
jts,jvm,20241123,40b7b914c916f21d521c3d796969d1c45ad9785b,9df69d1fa9a7ab92947ed7f0ea568a16eda36011,16,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/SelectionFunctions.java;modules/app/src/main/java/org/locationtech/jtstest/function/SelectionNGFunctions.java;modules/core/src/main/java/org/locationtech/jts/shape/CubicBezierCurve.java,True
jts,jvm,20250111,ef886e4187696a9d9798925abe7bee4f273b7cbe,efc16cbde7b298e2984cb9a30d721bb39cb6646f,2,0,0,https://github.com/locationtech/jts,modules/app/src/main/java/org/locationtech/jtstest/function/OverlayNGRobustFunctions.java,True
jts,jvm,20250124,d58ca0ccf1f2b750d03c599e997362c89e6d8757,16b055fc8f6619772282d2d060a6fcae479dcc94,20,20,0,https://github.com/locationtech/jts,modules/core/src/main/java/org/locationtech/jts/algorithm/Distance.java;modules/core/src/main/java/org/locationtech/jts/geom/Coordinate.java;modules/core/src/main/java/org/locationtech/jts/operation/overlay/snap/LineStringSnapper.java,True
